# portland deep agrid USGS model 2008. Nonzero entries only.
# Long(d)     Lat(d) AnnRate(M0)
  -122.70    44.40 0.85079E-03
  -122.60    44.40 0.85079E-03
  -122.50    44.40 0.85079E-03
  -122.40    44.40 0.85079E-03
  -122.30    44.40 0.85079E-03
  -123.80    44.30 0.85224E-03
  -123.70    44.30 0.85224E-03
  -123.60    44.30 0.85224E-03
  -123.50    44.30 0.85224E-03
  -123.40    44.30 0.85224E-03
  -123.30    44.30 0.85224E-03
  -123.20    44.30 0.85224E-03
  -123.10    44.30 0.85224E-03
  -123.00    44.30 0.85224E-03
  -122.90    44.30 0.85224E-03
  -122.80    44.30 0.85224E-03
  -122.70    44.30 0.85224E-03
  -122.60    44.30 0.85224E-03
  -122.50    44.30 0.85224E-03
  -122.40    44.30 0.85224E-03
  -122.30    44.30 0.85224E-03
  -123.80    44.20 0.85369E-03
  -123.70    44.20 0.85369E-03
  -123.60    44.20 0.85369E-03
  -123.50    44.20 0.85369E-03
  -123.40    44.20 0.85369E-03
  -123.30    44.20 0.85369E-03
  -123.20    44.20 0.85369E-03
  -123.10    44.20 0.85369E-03
  -123.00    44.20 0.85369E-03
  -122.90    44.20 0.85369E-03
  -122.80    44.20 0.85369E-03
  -122.70    44.20 0.85369E-03
  -122.60    44.20 0.85369E-03
  -122.50    44.20 0.85369E-03
  -122.40    44.20 0.85369E-03
  -122.30    44.20 0.85369E-03
  -123.80    44.10 0.85514E-03
  -123.70    44.10 0.85514E-03
  -123.60    44.10 0.85514E-03
  -123.50    44.10 0.85514E-03
  -123.40    44.10 0.85514E-03
  -123.30    44.10 0.85514E-03
  -123.20    44.10 0.85514E-03
  -123.10    44.10 0.85514E-03
  -123.00    44.10 0.85514E-03
  -122.90    44.10 0.85514E-03
  -122.80    44.10 0.85514E-03
  -122.70    44.10 0.85514E-03
  -122.60    44.10 0.85514E-03
  -122.50    44.10 0.85514E-03
  -122.40    44.10 0.85514E-03
  -122.30    44.10 0.85514E-03
